

test contents of disk
raw_data_line_cnt2027
disk_line_counter2027
char count16216
total line cnt2118
Process info for SINGLE-processor sim (CPU ID is 0)
Stage of system run= 0
pid,cpu_id,time start,time used,I/O total,read cnt(I/O),write cnt(I/O),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
4,0,430,91,12,1,11,19,19,5,SAVED_TERMINATED,20,12,12,207,226,63,207,226,246,258,
5,0,521,149,12,11,1,28,28,3,SAVED_TERMINATED,20,12,12,270,298,72,270,298,318,330,
6,0,670,141,12,11,1,24,24,7,SAVED_TERMINATED,20,12,12,342,366,68,342,366,386,398,
7,0,811,91,12,1,11,19,19,5,SAVED_TERMINATED,20,12,12,410,429,63,410,429,449,461,
8,0,902,91,12,1,11,19,19,16,SAVED_TERMINATED,20,12,12,473,492,63,473,492,512,524,
9,0,993,141,12,11,1,24,24,2,SAVED_TERMINATED,20,12,12,536,560,68,536,560,580,592,
10,0,1134,149,12,11,1,28,28,10,SAVED_TERMINATED,20,12,12,604,632,72,604,632,652,664,
11,0,1283,140,12,11,1,23,23,3,SAVED_TERMINATED,20,12,12,676,699,67,676,699,719,731,
12,0,1423,149,12,11,1,28,28,9,SAVED_TERMINATED,20,12,12,743,771,72,743,771,791,803,
13,0,1572,141,12,11,1,24,24,12,SAVED_TERMINATED,20,12,12,815,839,68,815,839,859,871,
14,0,1713,75,10,1,9,19,19,2,SAVED_TERMINATED,20,12,12,883,902,63,883,902,922,934,
15,0,1788,128,11,10,1,24,24,5,SAVED_TERMINATED,20,12,12,946,970,68,946,970,990,1002,
16,0,0,0,0,0,0,0,19,8,READY,20,12,12,1014,1033,63,0,19,39,51,
17,0,0,0,0,0,0,0,28,4,READY,20,12,12,1077,1105,72,63,91,111,123,
18,0,0,0,0,0,0,0,24,12,READY,20,12,12,1149,1173,68,135,159,179,191,
19,0,0,0,0,0,0,0,28,1,READY,20,12,12,1217,1245,72,203,231,251,263,
20,0,0,0,0,0,0,0,24,2,READY,20,12,12,1289,1313,68,275,299,319,331,
21,0,0,0,0,0,0,0,19,4,READY,20,12,12,1357,1376,63,343,362,382,394,
22,0,0,0,0,0,0,0,28,10,READY,20,12,12,1420,1448,72,406,434,454,466,
23,0,0,0,0,0,0,0,23,5,READY,20,12,12,1492,1515,67,478,501,521,533,
24,0,0,0,0,0,0,0,24,7,READY,20,12,12,1559,1583,68,545,569,589,601,
25,0,0,0,0,0,0,0,23,9,READY,20,12,12,1627,1650,67,613,636,656,668,
26,0,0,0,0,0,0,0,19,4,READY,20,12,12,1694,1713,63,680,699,719,731,
27,0,0,0,0,0,0,0,23,9,READY,20,12,12,1757,1780,67,743,766,786,798,
28,0,0,0,0,0,0,0,28,3,READY,20,12,12,1824,1852,72,810,838,858,870,
29,0,0,0,0,0,0,0,24,1,READY,20,12,12,1896,1920,68,882,906,926,938,
30,0,0,0,0,0,0,0,19,8,READY,20,12,12,1964,1983,63,950,969,989,1001,
after running st sched and cpu 2nd time
Process info for SINGLE-processor sim (CPU ID is 0)
Stage of system run= 6
pid,cpu_id,time start,time used,I/O total,read cnt(I/O),write cnt(I/O),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
1,0,0,140,12,11,1,23,23,2,SAVED_TERMINATED,20,12,12,0,23,67,0,23,43,55,
2,0,140,149,12,11,1,28,28,4,SAVED_TERMINATED,20,12,12,67,95,72,67,95,115,127,
3,0,289,141,12,11,1,24,24,6,SAVED_TERMINATED,20,12,12,139,163,68,139,163,183,195,
4,0,430,91,12,1,11,19,19,5,SAVED_TERMINATED,20,12,12,207,226,63,207,226,246,258,
5,0,521,149,12,11,1,28,28,3,SAVED_TERMINATED,20,12,12,270,298,72,270,298,318,330,
6,0,670,141,12,11,1,24,24,7,SAVED_TERMINATED,20,12,12,342,366,68,342,366,386,398,
7,0,811,91,12,1,11,19,19,5,SAVED_TERMINATED,20,12,12,410,429,63,410,429,449,461,
8,0,902,91,12,1,11,19,19,16,SAVED_TERMINATED,20,12,12,473,492,63,473,492,512,524,
9,0,993,141,12,11,1,24,24,2,SAVED_TERMINATED,20,12,12,536,560,68,536,560,580,592,
10,0,1134,149,12,11,1,28,28,10,SAVED_TERMINATED,20,12,12,604,632,72,604,632,652,664,
11,0,1283,140,12,11,1,23,23,3,SAVED_TERMINATED,20,12,12,676,699,67,676,699,719,731,
12,0,1423,149,12,11,1,28,28,9,SAVED_TERMINATED,20,12,12,743,771,72,743,771,791,803,
13,0,1572,141,12,11,1,24,24,12,SAVED_TERMINATED,20,12,12,815,839,68,815,839,859,871,
14,0,1713,75,10,1,9,19,19,2,SAVED_TERMINATED,20,12,12,883,902,63,883,902,922,934,
15,0,1788,128,11,10,1,24,24,5,SAVED_TERMINATED,20,12,12,946,970,68,946,970,990,1002,
16,0,1916,35,5,1,4,19,19,8,TERMINATED,20,12,12,1014,1033,63,0,19,39,51,
17,0,1951,149,12,11,1,28,28,4,TERMINATED,20,12,12,1077,1105,72,63,91,111,123,
18,0,2100,141,12,11,1,24,24,12,TERMINATED,20,12,12,1149,1173,68,135,159,179,191,
19,0,2241,120,10,9,1,28,28,1,TERMINATED,20,12,12,1217,1245,72,203,231,251,263,
20,0,2361,141,12,11,1,24,24,2,TERMINATED,20,12,12,1289,1313,68,275,299,319,331,
21,0,2502,99,13,1,12,19,19,4,TERMINATED,20,12,12,1357,1376,63,343,362,382,394,
22,0,2601,149,12,11,1,28,28,10,TERMINATED,20,12,12,1420,1448,72,406,434,454,466,
23,0,2750,127,11,10,1,23,23,5,TERMINATED,20,12,12,1492,1515,67,478,501,521,533,
24,0,2877,141,12,11,1,24,24,7,TERMINATED,20,12,12,1559,1583,68,545,569,589,601,
